Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
01/11/2023,38079,2,Rolette County,ND,92.7,"14,539",95,"14,204",95,"12,570",95,"10,814",95,"2,194",95,"11,316",79.8,"11,283",87.1,"2,594",73,"10,057",91.8,"8,689",92.4,"1,752",95,"4,598",40.6,"4,597",40.7,"4,347",43.2,"3,960",45.6,"2,440",59.9,"1,191",68,1065,43.6,642,53.9,D,15,16,16,16,16,16,Non-metro,7,8,8,8,8,8,15,15,15,15,7,7,7,7,"14,176","12,952","3,551","10,955","9,401","1,730","2,529",19.5,"2,399",21.9,"2,224",23.7,794,45.9
01/11/2023,48391,2,Refugio County,TX,98.9,"4,253",61.2,"4,248",64.8,"4,151",69.9,"3,864",71.4,"1,390",86,"3,750",54,"3,749",57.2,323,28.4,"3,675",61.9,"3,426",63.3,"1,258",77.8,"1,760",46.9,"1,760",46.9,"1,753",47.7,"1,740",50.8,"1,436",61.3,863,68.6,556,38.7,385,44.6,D,14,14,13,14,14,15,Non-metro,6,6,5,6,6,7,15,15,16,15,7,7,8,7,"6,948","6,554","1,139","5,936","5,415","1,617",482,7.4,481,8.1,475,8.8,287,17.7
01/11/2023,53025,2,Grant County,WA,96,"62,848",64.3,"62,667",69.5,"60,443",76.8,"55,430",80.2,"12,202",88.9,"57,360",58.7,"57,325",63.6,"6,465",30.6,"55,453",70.5,"50,860",73.6,"11,627",84.7,"25,523",44.5,"25,521",44.5,"25,273",45.6,"24,316",47.8,"15,051",64.1,"8,586",73.8,7208,47.9,4911,57.2,D,14,14,14,15,15,16,Non-metro,6,6,6,7,7,8,15,15,15,15,7,7,7,7,"97,733","90,198","21,122","78,651","69,076","13,730","8,665",9.6,"8,538",10.9,"8,282",12,"4,389",32
01/11/2023,19183,2,Washington County,IA,97.3,"13,943",63.5,"13,826",67.4,"13,342",72.5,"12,499",75.3,"4,183",95,"12,872",58.6,"12,822",62.5,"1,184",30.2,"12,399",67.4,"11,638",70.1,"3,997",91.2,"7,392",57.4,"7,391",57.6,"7,277",58.7,"7,013",60.3,"5,136",71.4,"3,142",78.6,3154,61.4,2203,70.1,A,2,2,2,3,3,4,Metro,2,2,2,3,3,4,4,4,4,3,4,4,4,3,"21,965","20,520","3,923","18,402","16,597","4,384","3,715",18.1,"3,659",19.9,"3,538",21.3,"2,080",47.4
01/11/2023,48313,2,Madison County,TX,98.9,"6,932",48.5,"6,923",51.4,"6,827",55.5,"6,573",58.4,"1,628",71.9,"5,981",41.9,"5,981",44.4,276,12.4,"5,910",48.1,"5,705",50.7,"1,444",63.8,"2,610",43.6,"2,610",43.6,"2,606",44.1,"2,595",45.5,"1,423",52.1,841,58.2,493,34.6,316,37.6,D,13,13,13,13,14,14,Non-metro,5,5,5,5,6,6,15,15,15,14,7,7,7,6,"14,284","13,477","2,227","12,290","11,250","2,264",459,3.4,458,3.7,456,4.1,263,11.6
01/11/2023,20105,2,Lincoln County,KS,93.9,"1,433",48.4,"1,432",50.8,"1,411",55,"1,362",58.8,601,79.8,"1,330",44.9,"1,329",47.1,66,13.2,"1,309",51,"1,263",54.5,574,76.2,772,58,772,58.1,769,58.7,758,60,629,70,449,78.2,299,47.5,232,51.7,A,1,1,1,2,2,3,Non-metro,5,5,5,6,6,7,4,4,4,3,8,8,8,7,"2,962","2,819",501,"2,566","2,318",753,168,6,166,6.5,164,7.1,102,13.5
01/11/2023,29103,2,Knox County,MO,91.3,"1,776",44.9,"1,773",47.9,"1,749",52.2,"1,671",55.2,699,79.7,"1,629",41.1,"1,627",44,94,14,"1,606",47.9,"1,533",50.6,646,73.7,905,55.6,905,55.6,901,56.1,886,57.8,725,67.7,494,76.5,313,43.2,257,52,B,5,5,5,5,6,7,Non-metro,5,5,5,5,6,7,8,8,8,7,8,8,8,7,"3,959","3,701",672,"3,352","3,029",877,309,8.3,308,9.2,305,10.1,233,26.6
01/11/2023,55035,2,Eau Claire County,WI,96.7,"70,533",67.4,"69,671",70.5,"66,027",72.8,"61,521",73.6,"16,552",95,"66,817",63.9,"66,290",67.1,"7,574",49.6,"62,925",69.4,"58,716",70.3,"15,878",93.6,"42,763",64,"42,762",64.5,"41,513",66,"39,493",67.3,"23,678",80.9,"13,982",88.1,15938,67.3,10735,76.8,B,6,7,7,7,7,8,Metro,2,3,3,3,3,4,8,8,8,8,4,4,4,4,"104,646","98,845","15,285","90,637","83,560","16,958","21,626",21.9,"21,056",23.2,"20,231",24.2,"9,718",57.3
01/11/2023,51097,2,King and Queen County,VA,78.2,"4,040",57.5,"4,035",60.2,"3,941",63.3,"3,764",65,"1,372",82.7,"3,683",52.4,"3,680",54.9,233,25.7,"3,593",57.7,"3,447",59.5,"1,256",75.7,"1,319",35.8,"1,319",35.8,"1,311",36.5,"1,279",37.1,"1,037",43.8,608,48.4,511,49.3,359,59,A,2,2,1,2,2,3,Non-metro,6,6,5,6,6,7,2,2,2,1,6,6,6,5,"7,025","6,700",905,"6,222","5,795","1,659",490,7.3,486,7.8,477,8.2,307,18.5
01/11/2023,48029,2,Bexar County,TX,98.9,"1,757,215",87.7,"1,748,064",93.7,"1,661,514",95,"1,507,185",95,"292,039",95,"1,452,251",72.5,"1,450,278",77.8,"186,695",50.8,"1,389,964",83.4,"1,263,583",84.4,"249,805",95,"590,069",40.6,"590,014",40.7,"580,592",41.8,"558,209",44.2,"330,213",59.7,"167,828",67.2,169584,51.4,99841,59.5,D,15,15,16,16,16,16,Metro,3,3,4,4,4,4,15,15,15,15,3,3,3,3,"2,003,554","1,864,849","367,735","1,666,323","1,497,114","247,843","252,262",13.5,"247,402",14.8,"238,212",15.9,"98,864",39.9
